Open,Close,Qstick
315.130005,318.600006,0
319,315.839996,0
313.48999,316.149994,0
315.220001,310.570007,0
309.950012,307.779999,0
307.070007,305.820007,0
306,305.98999,0
305.320007,306.390015,0
307.549988,311.450012,0
318.399994,312.329987,0
312.73999,309.290009,0
306.429993,301.910004,0
299.049988,300,0
300.51001,300.029999,0
300.089996,302,0
304.380005,307.820007,0
306.100006,302.690002,0
302.880005,306.48999,0
306.450012,305.549988,0
304.769989,303.429993,-0.52
305.940002,309.059998,-0.54
306.950012,308.899994,-0.28
310.070007,309.910004,-0.42
312,314.549988,-0.06
313.570007,312.899994,0.01
315,318.690002,0.26
319.019989,315.529999,0.08
315,316.350006,0.1
318.519989,320.369995,-0
321.149994,318.929993,0.19
317.48999,317.640015,0.37
318.399994,314.859985,0.42
315,308.299988,0.04
306.119995,305.230011,0.01
305.209991,309.869995,0.15
309.630005,310.420013,0.02
309.299988,311.299988,0.29
308.329987,311.899994,0.29
312.98999,310.950012,0.23
309.790009,309.170013,0.27
307.600006,307.329987,0.1
307.73999,311.519989,0.19
309.630005,310.570007,0.24
312.350006,311.859985,0.09
311,308.51001,0
308.25,308.429993,-0.17
307.299988,312.970001,0.28
311.119995,308.480011,0.08
310.170013,307.209991,-0.16
307.079987,309.890015,0.1
310.299988,313.73999,0.26
313.779999,310.790009,0.29
309.980011,309.630005,0.61
307.579987,308.179993,0.68
307.149994,308.23999,0.5
306.170013,302.720001,0.29
303.200012,303.160004,0.19
305.01001,303.070007,-0.09
300.399994,304.019989,0.19
304.369995,304.660004,0.24
304.890015,305.179993,0.27
304.019989,304.619995,0.11
303.660004,307.75,0.27
309.559998,312.450012,0.44
312.820007,316.970001,0.77
316.390015,311.119995,0.49
310.720001,311.369995,0.24
311,304.820007,0.07
302.950012,303.630005,0.25
301.75,302.880005,0.16
306.920013,305.329987,-0.09
300.019989,297.880005,-0.04
296.369995,302.01001,0.26
301.299988,293.51001,-0.16
295.570007,301.059998,0.06
304.559998,303.850006,0.19
303.720001,299.730011,-0
301.390015,298.369995,-0.06
294.679993,298.920013,-0.03
300.880005,302.140015,0.02
301.929993,302.320007,0.03
304.799988,305.299988,0.02
307.089996,305.079987,-0.28
305.899994,308.769989,-0.28
309.25,310.309998,-0.44
310.76001,309.070007,-0.26
307.850006,310.390015,-0.17
309.820007,312.51001,0.28
311.410004,312.619995,0.3
312.559998,313.700012,0.3
315.970001,314.549988,0.31
315.269989,318.049988,0.56
318.890015,319.73999,0.32
320.200012,323.790009,0.89
324.950012,324.630005,0.6
323.850006,323.089996,0.6
322.200012,323.820007,0.88
322.359985,324.329987,1.13
324.429993,326.049988,0.99
325.98999,324.339996,0.85
323.309998,320.529999,0.69
322.859985,326.230011,0.83
325.440002,328.549988,1.09
329.160004,330.170013,1
330.149994,325.859985,0.73
327.130005,323.220001,0.62
323.440002,320,0.32
323.359985,323.880005,0.21
328.26001,326.140015,0.04
324.869995,324.869995,-0.01
326.079987,322.98999,-0.1
321,322.640015,-0.15
323.820007,322.48999,-0.26
322.890015,323.529999,-0.41
322.459991,323.75,-0.33
325.019989,327.390015,-0.17
326.869995,329.76001,-0.11
331,330.390015,-0.24
330.75,329.130005,-0.4
328.190002,323.109985,-0.57
322.709991,320.200012,-0.56
320.559998,319.019989,-0.8
320.440002,320.600006,-0.95
321.859985,322.190002,-0.98
321.119995,321.079987,-0.77
321.420013,323.119995,-0.49
325.160004,329.480011,-0.1
330.890015,328.579987,-0.25
329.040009,333.410004,0.08
334.01001,335.420013,0.15
335.48999,335.950012,0.33
335.76001,335.290009,0.22
335.160004,333.600006,0.21
333.220001,336.390015,0.34
337.220001,335.899994,0.21
335.970001,339.820007,0.28
341.019989,338.309998,0
338.149994,338.670013,0.06
337.299988,338.609985,0.2
338.839996,336.959991,0.36
335.100006,335.25,0.5
335.170013,334.119995,0.52
334.390015,335.339996,0.56
336.049988,334.149994,0.45
334.26001,336.910004,0.58
338.779999,341,0.61
340.75,342,0.46
340.049988,341.559998,0.65
339.75,341.459991,0.51
340.519989,340.899994,0.46
340.480011,341.130005,0.47
341.230011,343.369995,0.6
345.290009,345.350006,0.68
345.600006,343.540009,0.42
344.98999,341.089996,0.29
341.089996,344.25,0.26
344.049988,345.339996,0.46
344.209991,342.429993,0.34
343.089996,346.609985,0.45
346.76001,345.76001,0.5
346.769989,349.630005,0.63
349.320007,347.579987,0.6
347.559998,349.799988,0.66
350.690002,349.309998,0.69
349.929993,349.809998,0.55
350.730011,351.959991,0.5
352.029999,352.26001,0.45
351.450012,351.190002,0.36
350.290009,353.809998,0.45
353.98999,349.98999,0.23
355.730011,362.579987,0.54
359.420013,363.730011,0.65
364.200012,358.019989,0.34
359.359985,356.980011,0.32
356.26001,358.350006,0.62
358.25,358.480011,0.48
357,354.5,0.29
354.600006,354.109985,0.35
354.01001,353.190002,0.13
351.470001,352.559998,0.24
354.089996,352.089996,-0
353.01001,350.570007,-0.04
351.630005,354.26001,-0.02
354.350006,354.299988,0.05
354.98999,355.929993,0.1
357.890015,355.549988,-0.08
355.040009,358.290009,0.07
358.630005,361.059998,0.21
362.179993,360.200012,-0.07
362,362.459991,0.15
363.880005,360.470001,-0.36
360.019989,361.670013,-0.49
360.959991,361.799988,-0.14
362.519989,363.149994,0.01
364.869995,365.519989,-0.06
365.649994,367.779999,0.03
369.329987,367.820007,0.08
370.100006,369.5,0.08
368.519989,367.859985,0.09
369.329987,370.429993,0.09
371.640015,370.480011,0.13
371.329987,366.820007,0.02
366.559998,363.279999,-0.27
362.779999,360.160004,-0.4
359.01001,361.709991,-0.31
359.799988,359.420013,-0.21
360.01001,357.779999,-0.49
357.799988,357.059998,-0.65
357.299988,350.299988,-0.9
349.640015,348.079987,-1
347.390015,343.040009,-1.04
342.920013,343.690002,-1.09
343.700012,345.059998,-1.06
344.100006,346.339996,-0.98
344.23999,345.450012,-0.95
347,348.559998,-0.98
349.380005,348.429993,-0.96
348.209991,345.660004,-1.05
346,345.089996,-1.07
348,346.230011,-1.21
346.179993,345.390015,-1.19
344.720001,340.890015,-1.16
340.309998,338.660004,-1.07
338.149994,335.859985,-1.06
334.070007,336.839996,-1.05
338.179993,338.630005,-1.01
338.589996,336.899994,-0.99
337.070007,336.160004,-0.99
336.119995,331.709991,-0.87
332.959991,337.410004,-0.56
337.950012,341.329987,-0.18
341.209991,343.75,-0.09
346.390015,349.019989,-0.03
350.170013,351.809998,-0.06
354.029999,346.630005,-0.49
346.809998,346.170013,-0.6
346.850006,346.299988,-0.58
347.640015,348.179993,-0.42
349.600006,350.559998,-0.33
350.089996,350.01001,-0.24
352.519989,354.25,-0.12
355.019989,356.790009,0.16
357.790009,359.859985,0.35
360.470001,358.929993,0.39
359.350006,361.329987,0.35
360.579987,361,0.34
361.76001,361.799988,0.43
362.51001,362.679993,0.48
362.640015,361.339996,0.64
361.549988,360.049988,0.34
360.950012,358.690002,0.06
