Open,Close,MassIndex
315.130005,318.600006,0
319,315.839996,0
313.48999,316.149994,0
315.220001,310.570007,0
309.950012,307.779999,0
307.070007,305.820007,0
306,305.98999,0
305.320007,306.390015,0
307.549988,311.450012,0
318.399994,312.329987,0
312.73999,309.290009,0
306.429993,301.910004,0
299.049988,300,0
300.51001,300.029999,0
300.089996,302,0
304.380005,307.820007,0
306.100006,302.690002,0
302.880005,306.48999,0
306.450012,305.549988,0
304.769989,303.429993,0
305.940002,309.059998,0
306.950012,308.899994,0
310.070007,309.910004,0
312,314.549988,0
313.570007,312.899994,0
315,318.690002,0
319.019989,315.529999,0
315,316.350006,0
318.519989,320.369995,0
321.149994,318.929993,0
317.48999,317.640015,0
318.399994,314.859985,0
315,308.299988,0
306.119995,305.230011,0
305.209991,309.869995,0
309.630005,310.420013,0
309.299988,311.299988,0
308.329987,311.899994,0
312.98999,310.950012,0
309.790009,309.170013,0
307.600006,307.329987,-176338.58
307.73999,311.519989,-176335.52
309.630005,310.570007,-176332.79
312.350006,311.859985,-176331.3
311,308.51001,-176331.89
308.25,308.429993,-176330.68
307.299988,312.970001,-176322.71
311.119995,308.480011,-21.28
310.170013,307.209991,-27.32
307.079987,309.890015,-28.42
310.299988,313.73999,-28.79
313.779999,310.790009,-29.01
309.980011,309.630005,-29.94
307.579987,308.179993,-30.84
307.149994,308.23999,-30.03
306.170013,302.720001,-33.1
303.200012,303.160004,-36.05
305.01001,303.070007,-37.31
300.399994,304.019989,-47.74
304.369995,304.660004,-38.16
304.890015,305.179993,-34.82
304.019989,304.619995,-30.93
303.660004,307.75,37.18
309.559998,312.450012,33.88
312.820007,316.970001,34.29
316.390015,311.119995,34.05
310.720001,311.369995,31.19
311,304.820007,26.85
302.950012,303.630005,23.22
301.75,302.880005,22.17
306.920013,305.329987,5.8
300.019989,297.880005,8.94
296.369995,302.01001,-38.04
301.299988,293.51001,-32.18
295.570007,301.059998,-34.39
304.559998,303.850006,-36.59
303.720001,299.730011,-34
301.390015,298.369995,-31.49
294.679993,298.920013,-31.72
300.880005,302.140015,-33.37
301.929993,302.320007,-31.67
304.799988,305.299988,-28.09
307.089996,305.079987,-34.17
305.899994,308.769989,-47.3
309.25,310.309998,-51.78
310.76001,309.070007,-54.43
307.850006,310.390015,-54.11
309.820007,312.51001,-54.78
311.410004,312.619995,-55.37
312.559998,313.700012,-56.03
315.970001,314.549988,-55.77
315.269989,318.049988,-55.05
318.890015,319.73999,-51.81
320.200012,323.790009,-47.95
324.950012,324.630005,-45.57
323.850006,323.089996,-28.38
322.200012,323.820007,-33.18
322.359985,324.329987,14.08
324.429993,326.049988,10.48
325.98999,324.339996,12.22
323.309998,320.529999,12.11
322.859985,326.230011,9.96
325.440002,328.549988,8.67
329.160004,330.170013,9.57
330.149994,325.859985,10.07
327.130005,323.220001,9.17
323.440002,320,-6.66
323.359985,323.880005,-1.05
328.26001,326.140015,22.65
324.869995,324.869995,18.82
326.079987,322.98999,19.93
321,322.640015,18.03
323.820007,322.48999,16.42
322.890015,323.529999,15.14
322.459991,323.75,13.73
325.019989,327.390015,12.01
326.869995,329.76001,5.28
331,330.390015,-25.93
330.75,329.130005,-12.63
328.190002,323.109985,-8.68
322.709991,320.200012,-6.35
320.559998,319.019989,-5.1
320.440002,320.600006,-4.77
321.859985,322.190002,-4.89
321.119995,321.079987,-4.68
321.420013,323.119995,-4.39
325.160004,329.480011,-7.81
330.890015,328.579987,-9.88
329.040009,333.410004,22.97
334.01001,335.420013,27.43
335.48999,335.950012,31.76
335.76001,335.290009,51.39
335.160004,333.600006,44.73
333.220001,336.390015,42.96
337.220001,335.899994,41.75
335.970001,339.820007,41.46
341.019989,338.309998,40.91
338.149994,338.670013,40.4
337.299988,338.609985,40.64
338.839996,336.959991,40.45
335.100006,335.25,41.45
335.170013,334.119995,46.12
334.390015,335.339996,76.35
336.049988,334.149994,58.41
334.26001,336.910004,55.18
338.779999,341,54.71
340.75,342,54.66
340.049988,341.559998,55.11
339.75,341.459991,55.85
340.519989,340.899994,56.37
340.480011,341.130005,57.37
341.230011,343.369995,61.33
345.290009,345.350006,63.11
345.600006,343.540009,29.44
344.98999,341.089996,23.82
341.089996,344.25,21.83
344.049988,345.339996,21.33
344.209991,342.429993,20.74
343.089996,346.609985,20.74
346.76001,345.76001,20.8
346.769989,349.630005,20.7
349.320007,347.579987,20.83
347.559998,349.799988,21.52
350.690002,349.309998,21.07
349.929993,349.809998,21.43
350.730011,351.959991,22.2
352.029999,352.26001,23.7
351.450012,351.190002,24.03
350.290009,353.809998,28.86
353.98999,349.98999,26.72
355.730011,362.579987,26.37
359.420013,363.730011,26.46
364.200012,358.019989,24.88
359.359985,356.980011,22.59
356.26001,358.350006,21.64
358.25,358.480011,20.92
357,354.5,18.31
354.600006,354.109985,14.77
354.01001,353.190002,-1.79
351.470001,352.559998,23.7
354.089996,352.089996,27.97
353.01001,350.570007,30.34
351.630005,354.26001,31.14
354.350006,354.299988,30.13
354.98999,355.929993,28.91
357.890015,355.549988,29.04
355.040009,358.290009,25.64
358.630005,361.059998,37.99
362.179993,360.200012,39.73
362,362.459991,41.37
363.880005,360.470001,126.41
360.019989,361.670013,129.09
360.959991,361.799988,139.08
362.519989,363.149994,141.36
364.869995,365.519989,144.51
365.649994,367.779999,145.25
369.329987,367.820007,144.02
370.100006,369.5,143.97
368.519989,367.859985,143.87
369.329987,370.429993,144.51
371.640015,370.480011,142.84
371.329987,366.820007,152.02
366.559998,363.279999,158.16
362.779999,360.160004,176.87
359.01001,361.709991,153.68
359.799988,359.420013,149.94
360.01001,357.779999,147.91
357.799988,357.059998,148.36
357.299988,350.299988,149.68
349.640015,348.079987,151.63
347.390015,343.040009,151.4
342.920013,343.690002,155.24
343.700012,345.059998,142.28
344.100006,346.339996,140.3
344.23999,345.450012,138.31
347,348.559998,52.06
349.380005,348.429993,48.53
348.209991,345.660004,38.72
346,345.089996,35.53
348,346.230011,33.82
346.179993,345.390015,31.91
344.720001,340.890015,32.52
340.309998,338.660004,33.66
338.149994,335.859985,35.69
334.070007,336.839996,35.3
338.179993,338.630005,36.98
338.589996,336.899994,29.81
337.070007,336.160004,26.98
336.119995,331.709991,25.88
332.959991,337.410004,25.06
337.950012,341.329987,23.32
341.209991,343.75,19.31
346.390015,349.019989,-66.6
350.170013,351.809998,-63.39
354.029999,346.630005,-69.17
346.809998,346.170013,-26.95
346.850006,346.299988,-23.53
347.640015,348.179993,-22.33
349.600006,350.559998,-22.39
350.089996,350.01001,-22.11
352.519989,354.25,-33.7
355.019989,356.790009,-27.73
357.790009,359.859985,-25.11
360.470001,358.929993,-24.66
359.350006,361.329987,-23.98
360.579987,361,-23.62
361.76001,361.799988,-24.1
362.51001,362.679993,-24.58
362.640015,361.339996,-25.76
361.549988,360.049988,-27.28
360.950012,358.690002,-34.8
