Close,Trima
318.600006,0
315.839996,0
316.149994,0
310.570007,0
307.779999,0
305.820007,0
305.98999,0
306.390015,0
311.450012,0
312.329987,0
309.290009,0
301.910004,0
300,0
300.029999,0
302,308.1
307.820007,307.44
302.690002,306.75
306.48999,306.03
305.549988,305.35
303.429993,304.84
309.059998,304.59
308.899994,304.56
309.910004,304.73
314.549988,304.97
312.899994,305.51
318.690002,306.34
315.529999,307.38
316.350006,308.59
320.369995,309.85
318.929993,311.12
317.640015,312.38
314.859985,313.55
308.299988,314.49
305.230011,315.02
309.869995,315.31
310.420013,315.31
311.299988,314.99
311.899994,314.4
310.950012,313.58
309.170013,312.67
307.329987,311.82
311.519989,311.28
310.570007,310.84
311.859985,310.51
308.51001,310.28
308.429993,310.1
312.970001,310.06
308.480011,310.1
307.209991,310.16
309.890015,310.08
313.73999,310.05
310.790009,309.98
309.630005,309.97
308.179993,310.01
308.23999,309.94
302.720001,309.8
303.160004,309.59
303.070007,309.31
304.019989,308.82
304.660004,308.25
305.179993,307.59
304.619995,306.89
307.75,306.25
312.450012,305.85
316.970001,305.73
311.119995,305.84
311.369995,306.22
304.820007,306.7
303.630005,307.22
302.880005,307.78
305.329987,308.3
297.880005,308.44
302.01001,308.13
293.51001,307.42
301.059998,306.44
303.850006,305.44
299.730011,304.4
298.369995,303.32
298.920013,302.17
302.140015,301.32
302.320007,300.71
305.299988,300.56
305.079987,300.63
308.769989,300.79
310.309998,301.18
309.070007,301.81
310.390015,302.72
312.51001,303.72
312.619995,304.88
313.700012,305.99
314.549988,307.18
318.049988,308.44
319.73999,309.68
323.790009,310.98
324.630005,312.33
323.089996,313.68
323.820007,315.04
324.329987,316.44
326.049988,317.87
324.339996,319.26
320.529999,320.51
326.230011,321.56
328.549988,322.46
330.170013,323.3
325.859985,324
323.220001,324.51
320,324.75
323.880005,324.89
326.140015,325.1
324.869995,325.25
322.98999,325.25
322.640015,325.03
322.48999,324.72
323.529999,324.43
323.75,324.3
327.390015,324.22
329.76001,324.12
330.390015,324.12
329.130005,324.31
323.109985,324.62
320.200012,324.95
319.019989,325.2
320.600006,325.35
322.190002,325.36
321.079987,325.18
323.119995,324.79
329.480011,324.32
328.579987,323.93
333.410004,323.77
335.420013,323.95
335.950012,324.41
335.290009,325.16
333.600006,326.24
336.390015,327.64
335.899994,329.14
339.820007,330.72
338.309998,332.18
338.670013,333.43
338.609985,334.48
336.959991,335.36
335.25,336.06
334.119995,336.52
335.339996,336.87
334.149994,336.96
336.910004,336.95
341,336.93
342,336.91
341.559998,336.94
341.459991,337.05
340.899994,337.29
341.130005,337.64
343.369995,338.21
345.350006,338.94
343.540009,339.68
341.089996,340.35
344.25,340.98
345.339996,341.58
342.429993,342.1
346.609985,342.61
345.76001,343.02
349.630005,343.36
347.579987,343.73
349.799988,344.24
349.309998,344.8
349.809998,345.36
351.959991,346.05
352.26001,346.74
351.190002,347.47
353.809998,348.21
349.98999,348.92
362.579987,349.69
363.730011,350.61
358.019989,351.59
356.980011,352.5
358.350006,353.41
358.480011,354.36
354.5,355.25
354.109985,356.16
353.190002,356.73
352.559998,356.9
352.089996,356.85
350.570007,356.62
354.26001,356.23
354.299988,355.66
355.929993,355.11
355.549988,354.51
358.290009,354.14
361.059998,354.07
360.200012,354.23
362.459991,354.67
360.470001,355.27
361.670013,356.05
361.799988,356.9
363.149994,357.85
365.519989,358.83
367.779999,359.78
367.820007,360.73
369.5,361.6
367.859985,362.49
370.429993,363.4
370.480011,364.35
366.820007,365.24
363.279999,365.99
360.160004,366.51
361.709991,366.81
359.420013,366.85
357.779999,366.62
357.059998,366.04
350.299988,365
348.079987,363.62
343.040009,361.96
343.690002,360.16
345.059998,358.19
346.339996,356.18
345.450012,354.13
348.559998,352.16
348.429993,350.47
345.660004,349.04
345.089996,347.96
346.230011,347.18
345.390015,346.66
340.890015,346.26
338.660004,345.94
335.859985,345.56
336.839996,345.03
338.630005,344.43
336.899994,343.66
336.160004,342.7
331.709991,341.52
337.410004,340.37
341.329987,339.37
343.75,338.69
349.019989,338.38
351.809998,338.39
346.630005,338.68
346.170013,339.28
346.299988,340.33
348.179993,341.59
350.559998,342.96
350.01001,344.3
354.25,345.54
356.790009,346.64
359.859985,347.8
358.929993,349.01
361.329987,350.22
361,351.46
361.799988,352.74
362.679993,354.11
361.339996,355.51
360.049988,356.89
358.690002,358.04
