Close,Trix
318.600006,0
315.839996,0
316.149994,0
310.570007,0
307.779999,0
305.820007,0
305.98999,0
306.390015,0
311.450012,0
312.329987,0
309.290009,0
301.910004,0
300,0
300.029999,0
302,0
307.820007,0
302.690002,0
306.48999,0
305.549988,0
303.429993,0
309.059998,0
308.899994,0
309.910004,0
314.549988,0
312.899994,0
318.690002,0
315.529999,0
316.350006,0
320.369995,0
318.929993,0
317.640015,0
314.859985,0
308.299988,0
305.230011,0
309.869995,0
310.420013,0
311.299988,0
311.899994,0
310.950012,0
309.170013,0
307.329987,0
311.519989,0
310.570007,0
311.859985,0.0002
308.51001,0.0001
308.429993,0.0001
312.970001,0.0001
308.480011,0
307.209991,-0
309.890015,-0.0001
313.73999,-0.0001
310.790009,-0.0001
309.630005,-0.0001
308.179993,-0.0001
308.23999,-0.0001
302.720001,-0.0002
303.160004,-0.0003
303.070007,-0.0003
304.019989,-0.0004
304.660004,-0.0005
305.179993,-0.0006
304.619995,-0.0006
307.75,-0.0006
312.450012,-0.0006
316.970001,-0.0005
311.119995,-0.0004
311.369995,-0.0003
304.820007,-0.0003
303.630005,-0.0003
302.880005,-0.0003
305.329987,-0.0003
297.880005,-0.0004
302.01001,-0.0004
293.51001,-0.0006
301.059998,-0.0007
303.850006,-0.0007
299.730011,-0.0008
298.369995,-0.0009
298.920013,-0.0009
302.140015,-0.001
302.320007,-0.001
305.299988,-0.001
305.079987,-0.0009
308.769989,-0.0008
310.309998,-0.0007
309.070007,-0.0005
310.390015,-0.0004
312.51001,-0.0002
312.619995,-0.0001
313.700012,0.0001
314.549988,0.0003
318.049988,0.0005
319.73999,0.0007
323.790009,0.0009
324.630005,0.0011
323.089996,0.0013
323.820007,0.0015
324.329987,0.0017
326.049988,0.0019
324.339996,0.002
320.529999,0.0021
326.230011,0.0021
328.549988,0.0022
330.170013,0.0023
325.859985,0.0023
323.220001,0.0023
320,0.0022
323.880005,0.0022
326.140015,0.0021
324.869995,0.002
322.98999,0.0019
322.640015,0.0018
322.48999,0.0017
323.529999,0.0016
323.75,0.0015
327.390015,0.0014
329.76001,0.0014
330.390015,0.0014
329.130005,0.0013
323.109985,0.0013
320.200012,0.0012
319.019989,0.0011
320.600006,0.0009
322.190002,0.0008
321.079987,0.0007
323.119995,0.0006
329.480011,0.0005
328.579987,0.0005
333.410004,0.0006
335.420013,0.0006
335.950012,0.0007
335.290009,0.0008
333.600006,0.0009
336.390015,0.001
335.899994,0.0011
339.820007,0.0012
338.309998,0.0013
338.670013,0.0014
338.609985,0.0015
336.959991,0.0016
335.25,0.0016
334.119995,0.0016
335.339996,0.0015
334.149994,0.0015
336.910004,0.0014
341,0.0014
342,0.0014
341.559998,0.0014
341.459991,0.0014
340.899994,0.0014
341.130005,0.0014
343.369995,0.0014
345.350006,0.0014
343.540009,0.0014
341.089996,0.0014
344.25,0.0014
345.339996,0.0014
342.429993,0.0014
346.609985,0.0014
345.76001,0.0014
349.630005,0.0014
347.579987,0.0014
349.799988,0.0014
349.309998,0.0015
349.809998,0.0015
351.959991,0.0015
352.26001,0.0015
351.190002,0.0015
353.809998,0.0016
349.98999,0.0016
362.579987,0.0016
363.730011,0.0017
358.019989,0.0018
356.980011,0.0018
358.350006,0.0019
358.480011,0.0019
354.5,0.0019
354.109985,0.0019
353.190002,0.0018
352.559998,0.0017
352.089996,0.0016
350.570007,0.0015
354.26001,0.0013
354.299988,0.0012
355.929993,0.0012
355.549988,0.0011
358.290009,0.001
361.059998,0.001
360.200012,0.001
362.459991,0.001
360.470001,0.001
361.670013,0.0011
361.799988,0.0011
363.149994,0.0011
365.519989,0.0011
367.779999,0.0012
367.820007,0.0013
369.5,0.0013
367.859985,0.0014
370.429993,0.0015
370.480011,0.0015
366.820007,0.0015
363.279999,0.0015
360.160004,0.0015
361.709991,0.0014
359.420013,0.0013
357.779999,0.0011
357.059998,0.001
350.299988,0.0008
348.079987,0.0006
343.040009,0.0003
343.690002,0
345.059998,-0.0003
346.339996,-0.0005
345.450012,-0.0007
348.559998,-0.0009
348.429993,-0.0011
345.660004,-0.0012
345.089996,-0.0013
346.230011,-0.0014
345.390015,-0.0014
340.890015,-0.0015
338.660004,-0.0016
335.859985,-0.0017
336.839996,-0.0018
338.630005,-0.0019
336.899994,-0.0019
336.160004,-0.002
331.709991,-0.0021
337.410004,-0.0021
341.329987,-0.0021
343.75,-0.002
349.019989,-0.0019
351.809998,-0.0018
346.630005,-0.0016
346.170013,-0.0014
346.299988,-0.0012
348.179993,-0.001
350.559998,-0.0009
350.01001,-0.0007
354.25,-0.0005
356.790009,-0.0003
359.859985,-0
358.929993,0.0002
361.329987,0.0004
361,0.0006
361.799988,0.0009
362.679993,0.001
361.339996,0.0012
360.049988,0.0013
358.690002,0.0014
