Close,Tsi
318.600006,0
315.839996,0
316.149994,0
310.570007,0
307.779999,0
305.820007,0
305.98999,0
306.390015,0
311.450012,0
312.329987,0
309.290009,0
301.910004,0
300,0
300.029999,0
302,0
307.820007,0
302.690002,0
306.48999,0
305.549988,0
303.429993,0
309.059998,0
308.899994,0
309.910004,0
314.549988,0
312.899994,0
318.690002,0
315.529999,0
316.350006,0
320.369995,0
318.929993,0
317.640015,0
314.859985,0
308.299988,0
305.230011,0
309.869995,0
310.420013,0
311.299988,0
311.899994,2.44
310.950012,1.97
309.170013,0.86
307.329987,-0.8
311.519989,-0.42
310.570007,-0.51
311.859985,-0.04
308.51001,-1.08
308.429993,-1.97
312.970001,-0.66
308.480011,-1.57
307.209991,-2.84
309.890015,-2.63
313.73999,-0.74
310.790009,-0.54
309.630005,-0.88
308.179993,-1.78
308.23999,-2.48
302.720001,-5.44
303.160004,-7.59
303.070007,-9.37
304.019989,-10.35
304.660004,-10.82
305.179993,-10.93
304.619995,-11.28
307.75,-9.77
312.450012,-5.86
316.970001,-0.33
311.119995,0.97
311.369995,2.09
304.820007,-0.28
303.630005,-2.63
302.880005,-4.79
305.329987,-5.28
297.880005,-8.86
302.01001,-9.55
293.51001,-13.29
301.059998,-12.56
303.850006,-10.83
299.730011,-10.92
298.369995,-11.43
298.920013,-11.59
302.140015,-10.45
302.320007,-9.48
305.299988,-7.54
305.079987,-6.05
308.769989,-3.42
310.309998,-0.71
309.070007,1.04
310.390015,2.97
312.51001,5.36
312.619995,7.37
313.700012,9.47
314.549988,11.55
318.049988,14.62
319.73999,17.78
323.790009,21.84
324.630005,25.43
323.089996,27.48
323.820007,29.4
324.329987,31.17
326.049988,33.22
324.339996,33.77
320.529999,31.63
326.230011,31.9
328.549988,32.9
330.170013,34.21
325.859985,32.41
323.220001,29.33
320,24.98
323.880005,23
326.140015,22.29
324.869995,21.03
322.98999,19
322.640015,17.2
322.48999,15.65
323.529999,14.8
323.75,14.19
327.390015,15.23
329.76001,17.09
330.390015,18.87
329.130005,19.54
323.109985,16.37
320.200012,12.17
319.019989,8.2
320.600006,5.81
322.190002,4.67
321.079987,3.16
323.119995,2.97
329.480011,5.99
328.579987,7.84
333.410004,11.49
335.420013,15.17
335.950012,18.26
335.290009,20.32
333.600006,20.96
336.390015,22.58
335.899994,23.57
339.820007,25.88
338.309998,26.75
338.670013,27.58
338.609985,28.22
336.959991,27.62
335.25,25.94
334.119995,23.77
335.339996,22.52
334.149994,20.65
336.910004,20.39
341,22.08
342,23.86
341.559998,24.97
341.459991,25.8
340.899994,26.05
341.130005,26.37
343.369995,27.69
345.350006,29.7
343.540009,29.79
341.089996,27.76
344.25,27.66
345.339996,28.1
342.429993,26.03
346.609985,26.39
345.76001,26
349.630005,27.45
347.579987,26.99
349.799988,27.59
349.309998,27.69
349.809998,27.98
351.959991,29.12
352.26001,30.16
351.190002,30.17
353.809998,31.28
349.98999,29.14
362.579987,32.58
363.730011,35.43
358.019989,33.53
356.980011,31.48
358.350006,30.4
358.480011,29.62
354.5,26.59
354.109985,24
353.190002,21.41
352.559998,18.96
352.089996,16.68
350.570007,13.94
354.26001,13.29
354.299988,12.79
355.929993,13.1
355.549988,13.14
358.290009,14.44
361.059998,16.77
360.200012,18.11
362.459991,20.2
360.470001,20.56
361.670013,21.39
361.799988,22.11
363.149994,23.32
365.519989,25.38
367.779999,28.03
367.820007,30.2
369.5,32.68
367.859985,33.36
370.429993,34.96
370.480011,36.28
366.820007,34.19
363.279999,29.6
360.160004,23.6
361.709991,19.7
359.420013,15.06
357.779999,10.34
357.059998,6.17
350.299988,-1.18
348.079987,-7.92
343.040009,-15.47
343.690002,-20.72
345.059998,-23.88
346.339996,-25.51
345.450012,-27.14
348.559998,-26.36
348.429993,-25.8
345.660004,-26.43
345.089996,-27.16
346.230011,-26.97
345.390015,-27.15
340.890015,-29.09
338.660004,-31.5
335.859985,-34.43
336.839996,-36.03
338.630005,-35.96
336.899994,-36.51
336.160004,-37.22
331.709991,-39.32
337.410004,-36.66
341.329987,-31.87
343.75,-26.65
349.019989,-19.46
351.809998,-12.53
346.630005,-9.48
346.170013,-7.38
346.299988,-5.69
348.179993,-3.47
350.559998,-0.6
350.01001,1.43
354.25,4.95
356.790009,8.82
359.859985,13.12
358.929993,16.05
361.329987,19.29
361,21.71
361.799988,23.98
362.679993,26.15
361.339996,27.13
360.049988,27.12
358.690002,26.23
