High,Low,Close,WeightedClose
318.600006,308.700012,318.600006,318.6
319.559998,313.299988,315.839996,315.84
316.380005,312.75,316.149994,316.15
315.660004,308.730011,310.570007,310.57
310.290009,306.350006,307.779999,307.78
309.380005,304.920013,305.820007,305.82
307.48999,305.089996,305.98999,305.99
308.339996,304.709991,306.390015,306.39
311.910004,305.459991,311.450012,311.45
318.910004,310.820007,312.329987,312.33
316.359985,308.399994,309.290009,309.29
306.959991,299.450012,301.910004,301.91
302.470001,297.76001,300,300
301.480011,297.149994,300.029999,300.03
304.190002,297,302,302
308.540009,304.160004,307.820007,307.82
306.5,297.640015,302.690002,302.69
306.570007,300.929993,306.48999,306.49
308.579987,304.649994,305.549988,305.55
307.459991,303.26001,303.429993,303.43
309.380005,305.23999,309.059998,309.06
309.040009,305.619995,308.899994,308.9
312.390015,307.380005,309.910004,309.91
316.890015,311.25,314.549988,314.55
314.230011,310,312.899994,312.9
320.160004,313.380005,318.690002,318.69
320.5,314.75,315.529999,315.53
316.799988,313.339996,316.350006,316.35
320.570007,316.600006,320.369995,320.37
321.320007,317.720001,318.929993,318.93
318.420013,315.790009,317.640015,317.64
318.519989,314.25,314.859985,314.86
315.540009,307.75,308.299988,308.3
307.23999,303.859985,305.230011,305.23
310.01001,304.359985,309.869995,309.87
312.730011,306.850006,310.420013,310.42
312.829987,307.5,311.299988,311.3
312.549988,307.709991,311.899994,311.9
313.679993,309.579987,310.950012,310.95
311.730011,308.339996,309.170013,309.17
309.51001,306.809998,307.329987,307.33
311.859985,305.790009,311.519989,311.52
312.670013,306.380005,310.570007,310.57
312.600006,308.299988,311.859985,311.86
311.549988,305.920013,308.51001,308.51
308.799988,305.600006,308.429993,308.43
314.149994,306.630005,312.970001,312.97
313.410004,308.01001,308.480011,308.48
311.420013,306.98999,307.209991,307.21
309.980011,305.279999,309.890015,309.89
313.73999,309.619995,313.73999,313.74
314.100006,309.040009,310.790009,310.79
310.369995,308.279999,309.630005,309.63
310.200012,306.869995,308.179993,308.18
308.410004,305.480011,308.23999,308.24
307.299988,300.5,302.720001,302.72
305.269989,301.769989,303.160004,303.16
305.559998,300.25,303.070007,303.07
305.619995,300.01001,304.019989,304.02
305.779999,302.01001,304.660004,304.66
306.149994,303.410004,305.179993,305.18
305.619995,302.079987,304.619995,304.62
308.100006,301.450012,307.75,307.75
312.660004,308.5,312.450012,312.45
317.290009,312.429993,316.970001,316.97
316.5,310.230011,311.119995,311.12
312.679993,309.25,311.369995,311.37
313.179993,303.940002,304.820007,304.82
306.720001,301.920013,303.630005,303.63
306.589996,300.76001,302.880005,302.88
307.549988,301.679993,305.329987,305.33
300.549988,294.899994,297.880005,297.88
304.429993,295.359985,302.01001,302.01
301.299988,292.420013,293.51001,293.51
301.51001,295.059998,301.059998,301.06
305.630005,302.25,303.850006,303.85
307.049988,299.649994,299.730011,299.73
302.079987,296.299988,298.369995,298.37
299.5,293.390015,298.920013,298.92
303.209991,298.970001,302.140015,302.14
302.720001,300.589996,302.320007,302.32
305.380005,303.359985,305.299988,305.3
307.470001,302.579987,305.079987,305.08
308.809998,304.98999,308.769989,308.77
311.5,308.23999,310.309998,310.31
311,307.070007,309.070007,309.07
311.070007,307.850006,310.390015,310.39
313.220001,309.049988,312.51001,312.51
313.700012,310.329987,312.619995,312.62
315.940002,311.769989,313.700012,313.7
316.920013,313.720001,314.549988,314.55
318.809998,313.26001,318.049988,318.05
321.880005,318.119995,319.73999,319.74
323.980011,319,323.790009,323.79
325.720001,322.5,324.630005,324.63
324.549988,322.76001,323.089996,323.09
324.369995,321.320007,323.820007,323.82
324.850006,321.609985,324.329987,324.33
326.399994,324.299988,326.049988,326.05
327.100006,324.109985,324.339996,324.34
323.73999,319,320.529999,320.53
326.910004,322.109985,326.230011,326.23
328.809998,325.190002,328.549988,328.55
331.839996,328.570007,330.170013,330.17
330.25,322.76001,325.859985,325.86
328.070007,323.059998,323.220001,323.22
325.98999,317.410004,320,320
325.160004,322.619995,323.880005,323.88
330.690002,325.790009,326.140015,326.14
326.880005,323.480011,324.869995,324.87
326.160004,320.149994,322.98999,322.99
322.959991,319.809998,322.640015,322.64
324.23999,320.540009,322.48999,322.49
323.829987,320.130005,323.529999,323.53
324.690002,322.359985,323.75,323.75
328.26001,324.820007,327.390015,327.39
329.980011,325.850006,329.76001,329.76
333.940002,329.119995,330.390015,330.39
331.48999,328.350006,329.130005,329.13
329.269989,322.970001,323.109985,323.11
323,319.559998,320.200012,320.2
320.559998,317.709991,319.019989,319.02
322.630005,319.670013,320.600006,320.6
322.470001,319,322.190002,322.19
322.410004,319.390015,321.079987,321.08
323.220001,319.529999,323.119995,323.12
330.670013,324.420013,329.480011,329.48
330.890015,327.570007,328.579987,328.58
334.160004,328.679993,333.410004,333.41
335.820007,331.429993,335.420013,335.42
336.320007,334.100006,335.950012,335.95
337.589996,334.920013,335.290009,335.29
335.350006,332.220001,333.600006,333.6
336.619995,332.200012,336.390015,336.39
340.380005,334.089996,335.899994,335.9
341.679993,335.540009,339.820007,339.82
341.299988,337.660004,338.309998,338.31
339.279999,336.619995,338.670013,338.67
341.350006,336.369995,338.609985,338.61
338.850006,335.660004,336.959991,336.96
337.470001,334.190002,335.25,335.25
335.829987,331.839996,334.119995,334.12
336.730011,334.369995,335.339996,335.34
336.399994,332.609985,334.149994,334.15
337.01001,334.140015,336.910004,336.91
342.5,338.399994,341,341
342.079987,338.410004,342,342
341.890015,338.700012,341.559998,341.56
341.799988,338.910004,341.459991,341.46
344.070007,340.390015,340.899994,340.9
343.480011,339.869995,341.130005,341.13
343.839996,340.929993,343.369995,343.37
346.440002,344.309998,345.350006,345.35
346.209991,343.450012,343.540009,343.54
345,340.51001,341.089996,341.09
345.720001,341.089996,344.25,344.25
347.25,343.540009,345.339996,345.34
345.380005,341.98999,342.429993,342.43
346.790009,342.850006,346.609985,346.61
347.619995,345.100006,345.76001,345.76
351.190002,346.279999,349.630005,349.63
349.660004,345.540009,347.579987,347.58
351.089996,347.519989,349.799988,349.8
351.269989,348.600006,349.309998,349.31
351,348.320007,349.809998,349.81
352.329987,350.209991,351.959991,351.96
353.420013,351.25,352.26001,352.26
352.890015,349.690002,351.190002,351.19
354.470001,349.420013,353.809998,353.81
355.109985,349.390015,349.98999,349.99
364.630005,355.149994,362.579987,362.58
364.25,358.850006,363.730011,363.73
364.429993,356.059998,358.019989,358.02
362.350006,355.920013,356.980011,356.98
359.25,353.200012,358.350006,358.35
358.950012,356.809998,358.480011,358.48
357.920013,353.670013,354.5,354.5
358.720001,353.380005,354.109985,354.11
356.299988,351.880005,353.190002,353.19
354.299988,351.25,352.559998,352.56
354.179993,349.609985,352.089996,352.09
353.5,349.660004,350.570007,350.57
354.320007,351.540009,354.26001,354.26
357.230011,354.130005,354.299988,354.3
357.350006,352.920013,355.929993,355.93
358.410004,354.529999,355.549988,355.55
358.589996,354.01001,358.290009,358.29
362.679993,358.600006,361.059998,361.06
362.470001,359.25,360.200012,360.2
363.390015,360.600006,362.459991,362.46
366.470001,360,360.470001,360.47
362.799988,359.26001,361.670013,361.67
363.299988,360.869995,361.799988,361.8
364.829987,361.769989,363.149994,363.15
366.609985,364.51001,365.519989,365.52
370.429993,365.470001,367.779999,367.78
370.839996,365.970001,367.820007,367.82
370.220001,368.26001,369.5,369.5
370.200012,367.519989,367.859985,367.86
371.329987,367.790009,370.429993,370.43
373.339996,368.459991,370.480011,370.48
371.339996,366.730011,366.820007,366.82
367.200012,362.940002,363.279999,363.28
363.420013,359.76001,360.160004,360.16
361.890015,357.269989,361.709991,361.71
360.790009,357.950012,359.420013,359.42
360.519989,354.269989,357.779999,357.78
359.470001,356.670013,357.059998,357.06
357.5,348.549988,350.299988,350.3
350,345.410004,348.079987,348.08
348.23999,342.130005,343.040009,343.04
344.01001,339.51001,343.690002,343.69
345.940002,342.369995,345.059998,345.06
348.76001,341.859985,346.339996,346.34
345.899994,342.829987,345.450012,345.45
349.51001,345.5,348.559998,348.56
349.600006,344.920013,348.429993,348.43
348.660004,343.019989,345.660004,345.66
348.440002,343.880005,345.089996,345.09
349.940002,345.829987,346.230011,346.23
348.410004,344.149994,345.390015,345.39
344.829987,339.959991,340.890015,340.89
342.690002,338.450012,338.660004,338.66
340,334.350006,335.859985,335.86
338.880005,333.48999,336.839996,336.84
339.850006,337.769989,338.630005,338.63
339.619995,336.549988,336.899994,336.9
338.320007,335.459991,336.160004,336.16
336.190002,330.579987,331.709991,331.71
338.359985,332.179993,337.410004,337.41
341.48999,337.5,341.329987,341.33
345.329987,340.579987,343.75,343.75
349.390015,344.5,349.019989,349.02
354.350006,349.790009,351.809998,351.81
354.029999,344.059998,346.630005,346.63
346.950012,344.299988,346.170013,346.17
348,344.690002,346.299988,346.3
350.109985,346.880005,348.179993,348.18
351.200012,348.600006,350.559998,350.56
350.649994,348.809998,350.01001,350.01
355.950012,351.25,354.25,354.25
357.309998,354.480011,356.790009,356.79
360,357.230011,359.859985,359.86
360.559998,358.070007,358.929993,358.93
362.609985,358.179993,361.329987,361.33
363.029999,360.25,361,361
362.459991,360.049988,361.799988,361.8
363.190002,361.23999,362.679993,362.68
362.640015,359.579987,361.339996,361.34
362.119995,359.209991,360.049988,360.05
361.519989,358.299988,358.690002,358.69
