Close,Width
318.600006,0
315.839996,0
316.149994,0
310.570007,0
307.779999,0
305.820007,0
305.98999,0
306.390015,0
311.450012,0
312.329987,0
309.290009,0
301.910004,0
300,0
300.029999,0
302,0
307.820007,0
302.690002,0
306.48999,0
305.549988,0
303.429993,0.07
309.059998,0.06
308.899994,0.05
309.910004,0.05
314.549988,0.05
312.899994,0.05
318.690002,0.06
315.529999,0.07
316.350006,0.07
320.369995,0.08
318.929993,0.08
317.640015,0.09
314.859985,0.08
308.299988,0.08
305.230011,0.07
309.869995,0.07
310.420013,0.07
311.299988,0.06
311.899994,0.06
310.950012,0.06
309.170013,0.05
307.329987,0.05
311.519989,0.05
310.570007,0.05
311.859985,0.05
308.51001,0.05
308.429993,0.05
312.970001,0.05
308.480011,0.05
307.209991,0.04
309.890015,0.04
313.73999,0.03
310.790009,0.03
309.630005,0.03
308.179993,0.02
308.23999,0.02
302.720001,0.03
303.160004,0.04
303.070007,0.04
304.019989,0.04
304.660004,0.04
305.179993,0.04
304.619995,0.04
307.75,0.04
312.450012,0.04
316.970001,0.05
311.119995,0.05
311.369995,0.05
304.820007,0.05
303.630005,0.05
302.880005,0.05
305.329987,0.05
297.880005,0.06
302.01001,0.06
293.51001,0.07
301.059998,0.07
303.850006,0.07
299.730011,0.07
298.369995,0.07
298.920013,0.07
302.140015,0.07
302.320007,0.07
305.299988,0.07
305.079987,0.07
308.769989,0.07
310.309998,0.06
309.070007,0.06
310.390015,0.06
312.51001,0.06
312.619995,0.07
313.700012,0.07
314.549988,0.08
318.049988,0.08
319.73999,0.09
323.790009,0.09
324.630005,0.1
323.089996,0.1
323.820007,0.1
324.329987,0.1
326.049988,0.1
324.339996,0.09
320.529999,0.09
326.230011,0.08
328.549988,0.08
330.170013,0.08
325.859985,0.08
323.220001,0.07
320,0.06
323.880005,0.06
326.140015,0.05
324.869995,0.04
322.98999,0.04
322.640015,0.03
322.48999,0.03
323.529999,0.03
323.75,0.03
327.390015,0.03
329.76001,0.03
330.390015,0.04
329.130005,0.04
323.109985,0.04
320.200012,0.04
319.019989,0.04
320.600006,0.04
322.190002,0.04
321.079987,0.04
323.119995,0.04
329.480011,0.04
328.579987,0.04
333.410004,0.05
335.420013,0.06
335.950012,0.06
335.290009,0.07
333.600006,0.07
336.390015,0.07
335.899994,0.07
339.820007,0.08
338.309998,0.08
338.670013,0.08
338.609985,0.09
336.959991,0.09
335.25,0.08
334.119995,0.07
335.339996,0.07
334.149994,0.06
336.910004,0.05
341,0.04
342,0.03
341.559998,0.03
341.459991,0.03
340.899994,0.03
341.130005,0.03
343.369995,0.03
345.350006,0.04
343.540009,0.04
341.089996,0.04
344.25,0.04
345.339996,0.04
342.429993,0.04
346.609985,0.04
345.76001,0.04
349.630005,0.05
347.579987,0.04
349.799988,0.04
349.309998,0.04
349.809998,0.04
351.959991,0.04
352.26001,0.04
351.190002,0.04
353.809998,0.05
349.98999,0.04
362.579987,0.06
363.730011,0.07
358.019989,0.07
356.980011,0.07
358.350006,0.07
358.480011,0.06
354.5,0.06
354.109985,0.06
353.190002,0.05
352.559998,0.05
352.089996,0.05
350.570007,0.05
354.26001,0.05
354.299988,0.04
355.929993,0.04
355.549988,0.04
358.290009,0.04
361.059998,0.04
360.200012,0.04
362.459991,0.04
360.470001,0.04
361.670013,0.04
361.799988,0.04
363.149994,0.04
365.519989,0.05
367.779999,0.05
367.820007,0.06
369.5,0.06
367.859985,0.06
370.429993,0.06
370.480011,0.06
366.820007,0.06
363.279999,0.05
360.160004,0.05
361.709991,0.05
359.420013,0.04
357.779999,0.04
357.059998,0.05
350.299988,0.05
348.079987,0.07
343.040009,0.08
343.690002,0.09
345.059998,0.1
346.339996,0.11
345.450012,0.11
348.559998,0.11
348.429993,0.11
345.660004,0.1
345.089996,0.1
346.230011,0.09
345.390015,0.08
340.890015,0.08
338.660004,0.08
335.859985,0.08
336.839996,0.07
338.630005,0.06
336.899994,0.06
336.160004,0.05
331.709991,0.06
337.410004,0.06
341.329987,0.06
343.75,0.06
349.019989,0.06
351.809998,0.06
346.630005,0.06
346.170013,0.06
346.299988,0.06
348.179993,0.06
350.559998,0.06
350.01001,0.07
354.25,0.07
356.790009,0.08
359.859985,0.09
358.929993,0.09
361.329987,0.1
361,0.1
361.799988,0.1
362.679993,0.1
361.339996,0.08
360.049988,0.08
358.690002,0.07
