Close,PercentB
318.600006,0
315.839996,0
316.149994,0
310.570007,0
307.779999,0
305.820007,0
305.98999,0
306.390015,0
311.450012,0
312.329987,0
309.290009,0
301.910004,0
300,0
300.029999,0
302,0
307.820007,0
302.690002,0
306.48999,0
305.549988,0
303.429993,0.3
309.059998,0.61
308.899994,0.63
309.910004,0.75
314.549988,1.01
312.899994,0.86
318.690002,1.07
315.529999,0.87
316.350006,0.86
320.369995,0.98
318.929993,0.88
317.640015,0.8
314.859985,0.68
308.299988,0.4
305.230011,0.25
309.869995,0.43
310.420013,0.45
311.299988,0.47
311.899994,0.48
310.950012,0.42
309.170013,0.28
307.329987,0.18
311.519989,0.42
310.570007,0.36
311.859985,0.45
308.51001,0.26
308.429993,0.28
312.970001,0.57
308.480011,0.31
307.209991,0.23
309.890015,0.46
313.73999,0.89
310.790009,0.61
309.630005,0.46
308.179993,0.22
308.23999,0.25
302.720001,-0.22
303.160004,-0.05
303.070007,0.02
304.019989,0.14
304.660004,0.22
305.179993,0.28
304.619995,0.26
307.75,0.51
312.450012,0.87
316.970001,1.08
311.119995,0.68
311.369995,0.71
304.820007,0.3
303.630005,0.24
302.880005,0.22
305.329987,0.39
297.880005,-0
302.01001,0.27
293.51001,-0.08
301.059998,0.31
303.850006,0.44
299.730011,0.25
298.369995,0.21
298.920013,0.25
302.140015,0.41
302.320007,0.42
305.299988,0.56
305.079987,0.55
308.769989,0.74
310.309998,0.88
309.070007,0.83
310.390015,0.92
312.51001,0.97
312.619995,0.92
313.700012,0.91
314.549988,0.9
318.049988,0.97
319.73999,0.96
323.790009,1.04
324.630005,0.99
323.089996,0.88
323.820007,0.87
324.329987,0.85
326.049988,0.87
324.339996,0.79
320.529999,0.65
326.230011,0.82
328.549988,0.88
330.170013,0.9
325.859985,0.71
323.220001,0.58
320,0.41
323.880005,0.58
326.140015,0.69
324.869995,0.59
322.98999,0.41
322.640015,0.34
322.48999,0.3
323.529999,0.41
323.75,0.44
327.390015,0.79
329.76001,0.96
330.390015,0.95
329.130005,0.82
323.109985,0.33
320.200012,0.1
319.019989,0.07
320.600006,0.21
322.190002,0.35
321.079987,0.28
323.119995,0.45
329.480011,0.9
328.579987,0.8
333.410004,1.04
335.420013,1.05
335.950012,0.99
335.290009,0.9
333.600006,0.79
336.390015,0.87
335.899994,0.81
339.820007,0.92
338.309998,0.83
338.670013,0.81
338.609985,0.78
336.959991,0.7
335.25,0.62
334.119995,0.56
335.339996,0.59
334.149994,0.51
336.910004,0.64
341,0.95
342,0.99
341.559998,0.95
341.459991,0.89
340.899994,0.81
341.130005,0.8
343.369995,0.93
345.350006,1.02
343.540009,0.84
341.089996,0.63
344.25,0.84
345.339996,0.88
342.429993,0.65
346.609985,0.9
345.76001,0.81
349.630005,0.99
347.579987,0.84
349.799988,0.94
349.309998,0.9
349.809998,0.91
351.959991,1
352.26001,0.95
351.190002,0.84
353.809998,0.95
349.98999,0.68
362.579987,1.25
363.730011,1.13
358.019989,0.84
356.980011,0.77
358.350006,0.8
358.480011,0.78
354.5,0.58
354.109985,0.54
353.190002,0.48
352.559998,0.42
352.089996,0.39
350.570007,0.28
354.26001,0.49
354.299988,0.48
355.929993,0.57
355.549988,0.53
358.290009,0.7
361.059998,0.85
360.200012,0.76
362.459991,0.88
360.470001,0.76
361.670013,0.87
361.799988,0.85
363.149994,0.89
365.519989,0.98
367.779999,1.01
367.820007,0.95
369.5,0.95
367.859985,0.84
370.429993,0.91
370.480011,0.87
366.820007,0.69
363.279999,0.5
360.160004,0.31
361.709991,0.37
359.420013,0.2
357.779999,0.1
357.059998,0.09
350.299988,-0.15
348.079987,-0.1
343.040009,-0.13
343.690002,-0.01
345.059998,0.09
346.339996,0.16
345.450012,0.18
348.559998,0.28
348.429993,0.3
345.660004,0.25
345.089996,0.26
346.230011,0.31
345.390015,0.3
340.890015,0.16
338.660004,0.11
335.859985,0.05
336.839996,0.11
338.630005,0.2
336.899994,0.14
336.160004,0.1
331.709991,-0.05
337.410004,0.27
341.329987,0.48
343.75,0.61
349.019989,0.86
351.809998,0.95
346.630005,0.7
346.170013,0.69
346.299988,0.71
348.179993,0.79
350.559998,0.87
350.01001,0.82
354.25,0.95
356.790009,0.97
359.859985,0.99
358.929993,0.91
361.329987,0.92
361,0.87
361.799988,0.85
362.679993,0.85
361.339996,0.8
360.049988,0.74
358.690002,0.67
